GREEK LETTER KOPPA + COMBINING DOT BELOW,U+003DE U+00323,U+0F881,\[FormalCapitalKoppa]
LATIN CAPITAL LETTER L WITH DOT BELOW,U+01E36,U+0F825,\[FormalCapitalL]
GREEK CAPITAL LETTER LAMDA + COMBINING DOT BELOW,U+0039B U+00323,U+0F83E,\[FormalCapitalLambda]
LATIN CAPITAL LETTER M WITH DOT BELOW,U+01E42,U+0F826,\[FormalCapitalM]
GREEK CAPITAL LETTER MU + COMBINING DOT BELOW,U+0039C U+00323,U+0F83F,\[FormalCapitalMu]
LATIN CAPITAL LETTER N WITH DOT BELOW,U+01E46,U+0F827,\[FormalCapitalN]
GREEK CAPITAL LETTER NU + COMBINING DOT BELOW,U+0039D U+00323,U+0F840,\[FormalCapitalNu]
LATIN CAPITAL LETTER O WITH DOT BELOW,U+01ECC,U+0F828,\[FormalCapitalO]
GREEK CAPITAL LETTER OMEGA + COMBINING DOT BELOW,U+003A9 U+00323,U+0F84C,\[FormalCapitalOmega]
GREEK CAPITAL LETTER OMICRON + COMBINING DOT BELOW,U+0039F U+00323,U+0F842,\[FormalCapitalOmicron]
LATIN CAPITAL LETTER P + COMBINING DOT BELOW,U+00050 U+00323,U+0F829,\[FormalCapitalP]
GREEK CAPITAL LETTER PHI + COMBINING DOT BELOW,U+003A6 U+00323,U+0F849,\[FormalCapitalPhi]
GREEK CAPITAL LETTER PI + COMBINING DOT BELOW,U+003A0 U+00323,U+0F843,\[FormalCapitalPi]
GREEK CAPITAL LETTER PSI + COMBINING DOT BELOW,U+003A8 U+00323,U+0F84B,\[FormalCapitalPsi]
LATIN CAPITAL LETTER Q + COMBINING DOT BELOW,U+00051 U+00323,U+0F82A,\[FormalCapitalQ]
LATIN CAPITAL LETTER R WITH DOT BELOW,U+01E5A,U+0F82B,\[FormalCapitalR]
GREEK CAPITAL LETTER RHO + COMBINING DOT BELOW,U+003A1 U+00323,U+0F844,\[FormalCapitalRho]
LATIN CAPITAL LETTER S WITH DOT BELOW,U+01E62,U+0F82C,\[FormalCapitalS]
GREEK LETTER SAMPI + COMBINING DOT BELOW,U+003E0 U+00323,U+0F883,\[FormalCapitalSampi]
GREEK CAPITAL LETTER SIGMA + COMBINING DOT BELOW,U+003A3 U+00323,U+0F846,\[FormalCapitalSigma]
GREEK LETTER STIGMA + COMBINING DOT BELOW,U+003DA U+00323,U+0F87D,\[FormalCapitalStigma]
LATIN CAPITAL LETTER T WITH DOT BELOW,U+01E6C,U+0F82D,\[FormalCapitalT]
GREEK CAPITAL LETTER TAU + COMBINING DOT BELOW,U+003A4 U+00323,U+0F847,\[FormalCapitalTau]
GREEK CAPITAL LETTER THETA,U+00398,U+0F83B,\[FormalCapitalTheta]
