\[FormalCapitalO],U+0F828,U+01ECC,LATIN CAPITAL LETTER O WITH DOT BELOW
\[FormalCapitalOmega],U+0F84C,U+003A9 U+00323,GREEK CAPITAL LETTER OMEGA + COMBINING DOT BELOW
\[FormalCapitalOmicron],U+0F842,U+0039F U+00323,GREEK CAPITAL LETTER OMICRON + COMBINING DOT BELOW
\[FormalCapitalP],U+0F829,U+00050 U+00323,LATIN CAPITAL LETTER P + COMBINING DOT BELOW
\[FormalCapitalPhi],U+0F849,U+003A6 U+00323,GREEK CAPITAL LETTER PHI + COMBINING DOT BELOW
\[FormalCapitalPi],U+0F843,U+003A0 U+00323,GREEK CAPITAL LETTER PI + COMBINING DOT BELOW
\[FormalCapitalPsi],U+0F84B,U+003A8 U+00323,GREEK CAPITAL LETTER PSI + COMBINING DOT BELOW
\[FormalCapitalQ],U+0F82A,U+00051 U+00323,LATIN CAPITAL LETTER Q + COMBINING DOT BELOW
\[FormalCapitalR],U+0F82B,U+01E5A,LATIN CAPITAL LETTER R WITH DOT BELOW
\[FormalCapitalRho],U+0F844,U+003A1 U+00323,GREEK CAPITAL LETTER RHO + COMBINING DOT BELOW
\[FormalCapitalS],U+0F82C,U+01E62,LATIN CAPITAL LETTER S WITH DOT BELOW
\[FormalCapitalSampi],U+0F883,U+003E0 U+00323,GREEK LETTER SAMPI + COMBINING DOT BELOW
\[FormalCapitalSigma],U+0F846,U+003A3 U+00323,GREEK CAPITAL LETTER SIGMA + COMBINING DOT BELOW
\[FormalCapitalStigma],U+0F87D,U+003DA U+00323,GREEK LETTER STIGMA + COMBINING DOT BELOW
\[FormalCapitalT],U+0F82D,U+01E6C,LATIN CAPITAL LETTER T WITH DOT BELOW
\[FormalCapitalTau],U+0F847,U+003A4 U+00323,GREEK CAPITAL LETTER TAU + COMBINING DOT BELOW
\[FormalCapitalTheta],U+0F83B,U+00398,GREEK CAPITAL LETTER THETA
\[FormalCapitalU],U+0F82E,U+01EE4,LATIN CAPITAL LETTER U WITH DOT BELOW
\[FormalCapitalUpsilon],U+0F848,U+003A5 U+00323,GREEK CAPITAL LETTER UPSILON + COMBINING DOT BELOW
\[FormalCapitalV],U+0F82F,U+01E7E,LATIN CAPITAL LETTER V WITH DOT BELOW
\[FormalCapitalW],U+0F830,U+01E88,LATIN CAPITAL LETTER W WITH DOT BELOW
\[FormalCapitalX],U+0F831,U+00058 U+00323,LATIN CAPITAL LETTER X + COMBINING DOT BELOW
\[FormalCapitalXi],U+0F841,U+0039E U+00323,GREEK CAPITAL LETTER XI + COMBINING DOT BELOW
\[FormalCapitalY],U+0F832,U+01EF4,LATIN CAPITAL LETTER Y WITH DOT BELOW
\[FormalCapitalZ],U+0F833,U+01E92,LATIN CAPITAL LETTER Z WITH DOT BELOW
\[FormalCapitalZeta],U+0F839,U+00396 U+00323,GREEK CAPITAL LETTER ZETA + COMBINING DOT BELOW
\[FormalChi],U+0F86A,U+003C7 U+00323,GREEK SMALL LETTER CHI + COMBINING DOT BELOW
\[FormalCurlyCapitalUpsilon],U+0F875,U+003D2 U+00323,GREEK UPSILON WITH HOOK SYMBOL + COMBINING DOT BELOW
\[FormalCurlyEpsilon],U+0F858,U+003B5 U+00323,GREEK SMALL LETTER EPSILON + COMBINING DOT BELOW
\[FormalCurlyKappa],U+0F885,U+003F0 U+00323,GREEK KAPPA SYMBOL + COMBINING DOT BELOW
\[FormalCurlyPhi],U+0F869,U+003C6 U+00323,GREEK SMALL LETTER PHI + COMBINING DOT BELOW
\[FormalCurlyPi],U+0F879,U+003D6 U+00323,GREEK PI SYMBOL + COMBINING DOT BELOW
\[FormalCurlyRho],U+0F886,U+003F1 U+00323,GREEK RHO SYMBOL + COMBINING DOT BELOW
\[FormalCurlyTheta],U+0F874,U+003D1 U+00323,GREEK THETA SYMBOL + COMBINING DOT BELOW
\[FormalD],U+0F803,U+01E0D,LATIN SMALL LETTER D WITH DOT BELOW
\[FormalDelta],U+0F857,U+003B4 U+00323,GREEK SMALL LETTER DELTA + COMBINING DOT BELOW
\[FormalDigamma],U+0F880,U+003DD,GREEK SMALL LETTER DIGAMMA
\[FormalE],U+0F804,U+01EB9,LATIN SMALL LETTER E WITH DOT BELOW
\[FormalEpsilon],U+0F88A,U+003F5 U+00323,GREEK LUNATE EPSILON SYMBOL + COMBINING DOT BELOW
\[FormalEta],U+0F85A,U+003B7 U+00323,GREEK SMALL LETTER ETA + COMBINING DOT BELOW
\[FormalF],U+0F805,U+00066 U+00323,LATIN SMALL LETTER F + COMBINING DOT BELOW
